,字节跳动,数据产品经理,北京,2-3.5万/月,09-03
0,甲骨文（中国）软件系统有限公司,数据产品经理,长沙,,09-03
1,莱茵技术(上海)有限公司 TUV Rhei...,数据产品经理,上海-静安区,,09-03
2,百度在线网络技术（北京）有限公司...,数据产品经理,北京,2-4万/月,09-03
3,携程旅行网业务区,数据产品经理,上海-长宁区,1.5-2万/月,09-03
4,嘉吉投资（中国）有限公司南京分公...,数据产品经理,南京,,09-03
5,阿里巴巴集团,数据产品经理,北京,,09-03
6,杭州默沙东制药有限公司,数据产品经理,北京,0.8-1.5万/月,09-03
7,卡特彼勒(苏州)物流有限公司,数据产品经理,苏州,4.5-6千/月,09-03
8,施耐德电气（中国）有限公司,数据产品经理,北京,,09-03
9,IBM China,数据产品经理,北京,2-4万/月,09-03
10,辉瑞（中国）研究开发有限公司,数据产品经理,上海-浦东新区,1.5-2万/月,09-03
11,深圳市腾讯计算机系统有限公司,数据产品经理,深圳,,09-03
12,浙江华为通信技术有限公司,数据产品经理,杭州,1-1.5万/月,09-03
13,太平洋保险在线服务科技有限公司深...,数据产品经理,东莞-南城区,4.5-6千/月,09-03
14,上海晨光文具股份有限公司,数据产品经理,上海-松江区,0.8-1万/月,09-03
15,深圳市大疆创新科技有限公司,数据产品经理,深圳-南山区,1-1.5万/月,09-03
16,苏宁易购集团股份有限公司,数据产品经理,南京,1.5-2万/月,09-03
17,上海华夏邓白氏商业信息咨询有限公...,数据产品经理,上海-虹口区,3.5-4.5千/月,09-03
18,广州立白企业集团有限公司,数据产品经理,广州-荔湾区,30-50万/年,09-03
19,金蝶软件（中国）有限公司,数据产品经理,深圳,1-2万/月,09-03
20,传智播客教育集团深圳分校,数据产品经理,深圳-宝安区,2.5-3万/月,09-03
21,大华银行（中国）有限公司,数据产品经理,上海-浦东新区,3-4万/月,09-03
22,优信集团,数据产品经理,北京-朝阳区,1-1.3万/月,09-03
23,北京达佳互联信息技术有限公司,数据产品经理,成都-高新区,0.8-1万/月,09-03
24,新华三技术有限公司,数据产品经理,郑州,1-2万/月,09-03
25,嘉兴运达智能设备,数据产品经理,上海,,09-03
26,广州汇骏信息咨询服务有限公司,数据产品经理,广州-天河区,6-8千/月,09-03
27,广州遂昌电子科技有限公司,数据产品经理,广州-黄埔区,5.8-6.4千/月,09-03
28,武汉房小白咨询管理有限公司,数据产品经理,武汉-江汉区,0.4-1万/月,09-03
29,沈阳鑫路万通电子商务有限公司,数据产品经理,沈阳-沈河区,4.5-6千/月,09-03
30,大连几度国际旅行社有限公司,数据产品经理,大连-中山区,2-3千/月,09-03
31,深圳市隆汇达投资咨询服务有限公司...,数据产品经理,深圳-罗湖区,0.8-1万/月,09-03
