PassengerId,Survived,Pclass,Sex,fare,SibSp,Parch
1,0,3,male,7.25,1,0
2,1,1,female,71.2833,1,0
3,1,3,female,7.925,0,0
4,1,1,female,53.1,1,0
5,0,3,male,8.05,0,0
6,0,3,male,8.4583,0,0
7,0,1,male,51.8625,0,0
8,0,3,male,21.075,3,1
9,1,3,female,11.1333,0,2
10,1,2,female,30.0708,1,0
11,1,3,female,16.7,1,1
12,1,1,female,26.55,0,0
13,0,3,male,8.05,0,0
14,0,3,male,31.275,1,5
15,0,3,female,7.8542,0,0
16,1,2,female,16,0,0
17,0,3,male,29.125,4,1
18,1,2,male,13,0,0
19,0,3,female,18,1,0
20,1,3,female,7.225,0,0
21,0,2,male,26,0,0
22,1,2,male,13,0,0
23,1,3,female,8.0292,0,0
24,1,1,male,35.5,0,0
25,0,3,female,21.075,3,1
26,1,3,female,31.3875,1,5
27,0,3,male,7.225,0,0
28,0,1,male,263,3,2
29,1,3,female,7.8792,0,0
30,0,3,male,7.8958,0,0
31,0,1,male,27.7208,0,0
32,1,1,female,146.5208,1,0
33,1,3,female,7.75,0,0
34,0,2,male,10.5,0,0
35,0,1,male,82.1708,1,0
36,0,1,male,52,1,0
37,1,3,male,7.2292,0,0
38,0,3,male,8.05,0,0
39,0,3,female,18,2,0
40,1,3,female,11.2417,1,0
41,0,3,female,9.475,1,0
42,0,2,female,21,1,0
43,0,3,male,7.8958,0,0
44,1,2,female,41.5792,1,2
45,1,3,female,7.8792,0,0
46,0,3,male,8.05,0,0
47,0,3,male,15.5,1,0
48,1,3,female,7.75,0,0
49,0,3,male,21.6792,2,0
50,0,3,female,17.8,1,0
51,0,3,male,39.6875,4,1
52,0,3,male,7.8,0,0
53,1,1,female,76.7292,1,0
54,1,2,female,26,1,0
55,0,1,male,61.9792,0,1
56,1,1,male,35.5,0,0
57,1,2,female,10.5,0,0
58,0,3,male,7.2292,0,0
59,1,2,female,27.75,1,2
60,0,3,male,46.9,5,2
61,0,3,male,7.2292,0,0
62,1,1,female,80,0,0
63,0,1,male,83.475,1,0
64,0,3,male,27.9,3,2
65,0,1,male,27.7208,0,0
66,1,3,male,15.2458,1,1
67,1,2,female,10.5,0,0
68,0,3,male,8.1583,0,0
69,1,3,female,7.925,4,2
70,0,3,male,8.6625,2,0
71,0,2,male,10.5,0,0
72,0,3,female,46.9,5,2
73,0,2,male,73.5,0,0
74,0,3,male,14.4542,1,0
75,1,3,male,56.4958,0,0
76,0,3,male,7.65,0,0
77,0,3,male,7.8958,0,0
78,0,3,male,8.05,0,0
79,1,2,male,29,0,2
80,1,3,female,12.475,0,0
81,0,3,male,9,0,0
82,1,3,male,9.5,0,0
83,1,3,female,7.7875,0,0
84,0,1,male,47.1,0,0
85,1,2,female,10.5,0,0
86,1,3,female,15.85,3,0
87,0,3,male,34.375,1,3
88,0,3,male,8.05,0,0
89,1,1,female,263,3,2
90,0,3,male,8.05,0,0
91,0,3,male,8.05,0,0
92,0,3,male,7.8542,0,0
93,0,1,male,61.175,1,0
94,0,3,male,20.575,1,2
95,0,3,male,7.25,0,0
96,0,3,male,8.05,0,0
97,0,1,male,34.6542,0,0
98,1,1,male,63.3583,0,1
99,1,2,female,23,0,1
100,0,2,male,26,1,0
101,0,3,female,7.8958,0,0
102,0,3,male,7.8958,0,0
103,0,1,male,77.2875,0,1
104,0,3,male,8.6542,0,0
105,0,3,male,7.925,2,0
106,0,3,male,7.8958,0,0
107,1,3,female,7.65,0,0
108,1,3,male,7.775,0,0
109,0,3,male,7.8958,0,0
110,1,3,female,24.15,1,0
111,0,1,male,52,0,0
112,0,3,female,14.4542,1,0
113,0,3,male,8.05,0,0
114,0,3,female,9.825,1,0
115,0,3,female,14.4583,0,0
116,0,3,male,7.925,0,0
117,0,3,male,7.75,0,0
118,0,2,male,21,1,0
119,0,1,male,247.5208,0,1
120,0,3,female,31.275,4,2
121,0,2,male,73.5,2,0
122,0,3,male,8.05,0,0
123,0,2,male,30.0708,1,0
124,1,2,female,13,0,0
125,0,1,male,77.2875,0,1
126,1,3,male,11.2417,1,0
127,0,3,male,7.75,0,0
128,1,3,male,7.1417,0,0
129,1,3,female,22.3583,1,1
130,0,3,male,6.975,0,0
131,0,3,male,7.8958,0,0
132,0,3,male,7.05,0,0
133,0,3,female,14.5,1,0
134,1,2,female,26,1,0
135,0,2,male,13,0,0
136,0,2,male,15.0458,0,0
137,1,1,female,26.2833,0,2
138,0,1,male,53.1,1,0
139,0,3,male,9.2167,0,0
140,0,1,male,79.2,0,0
141,0,3,female,15.2458,0,2
142,1,3,female,7.75,0,0
143,1,3,female,15.85,1,0
144,0,3,male,6.75,0,0
145,0,2,male,11.5,0,0
146,0,2,male,36.75,1,1
147,1,3,male,7.7958,0,0
148,0,3,female,34.375,2,2
149,0,2,male,26,0,2
150,0,2,male,13,0,0
151,0,2,male,12.525,0,0
152,1,1,female,66.6,1,0
153,0,3,male,8.05,0,0
154,0,3,male,14.5,0,2
155,0,3,male,7.3125,0,0
156,0,1,male,61.3792,0,1
157,1,3,female,7.7333,0,0
158,0,3,male,8.05,0,0
159,0,3,male,8.6625,0,0
160,0,3,male,69.55,8,2
161,0,3,male,16.1,0,1
162,1,2,female,15.75,0,0
163,0,3,male,7.775,0,0
164,0,3,male,8.6625,0,0
165,0,3,male,39.6875,4,1
166,1,3,male,20.525,0,2
167,1,1,female,55,0,1
168,0,3,female,27.9,1,4
169,0,1,male,25.925,0,0
170,0,3,male,56.4958,0,0
